"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2022","154.38","154.38","154.76","153.81","","0.05%"
"01/26/2022","154.30","153.71","154.79","153.66","","0.38%"
"01/25/2022","153.71","153.67","154.04","153.10","","0.06%"
"01/24/2022","153.62","154.12","154.51","152.88","","-0.30%"
"01/21/2022","154.08","155.18","155.27","153.89","","-0.66%"
"01/20/2022","155.11","155.57","156.10","155.11","","-0.28%"
"01/19/2022","155.54","155.82","156.28","155.38","","-0.17%"
"01/18/2022","155.80","156.42","156.94","155.45","","-0.36%"
"01/17/2022","156.37","156.19","156.76","156.01","","0.14%"
"01/14/2022","156.15","156.51","156.65","155.44","","-0.21%"
"01/13/2022","156.48","157.05","157.51","156.28","","-0.36%"
"01/12/2022","157.05","157.20","157.75","156.74","","-0.08%"
"01/11/2022","157.17","156.42","157.34","156.25","","0.49%"
"01/10/2022","156.41","157.04","157.40","155.95","","-0.36%"
"01/07/2022","156.97","156.74","157.22","156.70","","0.19%"
"01/06/2022","156.68","157.43","157.49","156.07","","-0.43%"
"01/05/2022","157.36","157.16","157.80","156.56","","0.17%"
"01/04/2022","157.10","155.39","157.46","155.32","","1.13%"
"01/03/2022","155.35","155.69","156.01","154.88","","-0.22%"
"12/31/2021","155.69","155.33","156.04","154.99","","0.28%"
"12/30/2021","155.26","155.08","155.69","154.90","","0.15%"
"12/29/2021","155.02","154.28","155.15","154.03","","0.51%"
"12/28/2021","154.24","154.36","154.60","154.01","","-0.06%"
"12/27/2021","154.34","153.18","154.49","153.12","","0.78%"
"12/24/2021","153.14","153.39","153.61","153.04","","-0.14%"
"12/23/2021","153.36","152.39","153.75","152.27","","0.69%"
"12/22/2021","152.31","151.41","152.61","151.09","","0.65%"
"12/21/2021","151.33","150.02","151.45","149.88","","0.88%"
"12/20/2021","150.01","150.59","150.60","149.51","","-0.31%"
"12/17/2021","150.48","151.49","151.74","150.41","","-0.63%"
"12/16/2021","151.44","151.25","152.67","151.08","","0.15%"
"12/15/2021","151.22","150.57","151.34","150.26","","0.46%"
"12/14/2021","150.53","150.13","150.61","149.75","","0.30%"
"12/13/2021","150.08","150.09","150.79","149.86","","-0.24%"
"12/10/2021","150.44","149.99","150.54","149.66","","0.32%"
"12/09/2021","149.96","150.11","150.34","149.47","","-0.11%"
"12/08/2021","150.13","150.43","150.74","149.41","","-0.17%"
"12/07/2021","150.39","150.52","151.17","150.12","","-0.07%"
"12/06/2021","150.49","149.23","150.64","149.14","","0.83%"
"12/03/2021","149.25","150.61","150.80","148.96","","-0.87%"
"12/02/2021","150.56","149.75","150.83","149.57","","0.57%"
"12/01/2021","149.71","150.49","151.48","149.61","","-0.47%"
"11/30/2021","150.41","151.16","151.65","149.71","","-0.45%"
"11/29/2021","151.09","151.20","151.94","150.68","","-0.01%"
"11/26/2021","151.10","153.68","153.73","150.71","","-1.67%"
"11/25/2021","153.66","153.86","154.11","153.41","","-0.08%"
"11/24/2021","153.79","153.99","154.18","153.36","","-0.11%"
"11/23/2021","153.96","153.95","154.25","153.27","","0.06%"
"11/22/2021","153.87","153.39","154.09","153.11","","0.35%"
"11/19/2021","153.33","154.18","154.49","152.51","","-0.54%"
"11/18/2021","154.16","153.85","154.31","153.70","","0.25%"
"11/17/2021","153.77","154.20","154.77","153.73","","-0.26%"
"11/16/2021","154.17","153.16","154.23","153.01","","0.69%"
"11/15/2021","153.11","152.81","153.31","152.62","","0.26%"
"11/12/2021","152.71","152.52","152.98","152.36","","0.15%"
"11/11/2021","152.48","152.70","153.04","152.38","","-0.10%"
"11/10/2021","152.64","153.04","153.78","152.57","","-0.21%"
"11/09/2021","152.96","153.55","153.67","152.72","","-0.36%"
"11/08/2021","153.51","153.10","153.70","152.69","","0.32%"
"11/05/2021","153.02","153.57","153.81","152.80","","-0.33%"
"11/04/2021","153.52","156.01","156.28","153.11","","-1.57%"
"11/03/2021","155.97","155.13","156.10","154.94","","0.54%"
"11/02/2021","155.13","155.77","155.99","154.65","","-0.39%"
"11/01/2021","155.73","156.00","156.52","155.59","","-0.22%"
"10/29/2021","156.08","156.63","157.13","155.78","","-0.31%"
"10/28/2021","156.57","156.50","156.73","155.91","","0.08%"
"10/27/2021","156.45","157.17","157.29","155.70","","-0.43%"
"10/26/2021","157.13","156.57","157.79","156.45","","0.38%"
"10/25/2021","156.54","156.32","156.85","156.07","","0.33%"
"10/22/2021","156.02","157.20","157.70","155.91","","-0.74%"
"10/21/2021","157.18","157.98","158.22","156.77","","-0.49%"
"10/20/2021","157.95","157.76","158.26","157.00","","0.14%"
"10/19/2021","157.73","156.95","158.08","156.86","","0.54%"
"10/18/2021","156.89","157.06","157.41","156.61","","-0.10%"
"10/15/2021","157.05","155.45","157.45","155.39","","1.06%"
"10/14/2021","155.41","154.74","155.76","154.64","","0.48%"
"10/13/2021","154.66","154.38","154.99","154.11","","0.21%"
"10/12/2021","154.33","154.06","154.86","153.67","","0.19%"
"10/11/2021","154.03","152.79","154.55","152.70","","0.84%"
"10/08/2021","152.74","152.02","152.96","151.92","","0.52%"
"10/07/2021","151.95","151.32","152.11","151.01","","0.44%"
"10/06/2021","151.29","151.95","152.17","150.81","","-0.40%"
"10/05/2021","151.90","150.98","152.07","150.73","","0.63%"
"10/04/2021","150.95","150.42","151.55","150.14","","0.35%"
"10/01/2021","150.42","149.93","150.76","149.22","","0.35%"
"09/30/2021","149.90","150.30","150.97","149.79","","-0.25%"
