"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 02- 27","1.4438","1.4336","1.4451","1.4321","","0.70%"
"2025- 02- 26","1.4337","1.4314","1.4370","1.4293","","0.17%"
"2025- 02- 25","1.4312","1.4261","1.4319","1.4239","","0.37%"
"2025- 02- 24","1.4259","1.4219","1.4269","1.4181","","0.27%"
"2025- 02- 21","1.4220","1.4177","1.4238","1.4168","","0.32%"
"2025- 02- 20","1.4174","1.4237","1.4246","1.4166","","-0.42%"
"2025- 02- 19","1.4234","1.4200","1.4247","1.4175","","0.26%"
"2025- 02- 18","1.4197","1.4183","1.4214","1.4179","","0.12%"
"2025- 02- 17","1.4180","1.4181","1.4196","1.4159","","-0.01%"
"2025- 02- 14","1.4181","1.4194","1.4203","1.4151","","-0.07%"
"2025- 02- 13","1.4191","1.4304","1.4308","1.4183","","-0.80%"
"2025- 02- 12","1.4305","1.4287","1.4344","1.4255","","0.15%"
"2025- 02- 11","1.4283","1.4317","1.4347","1.4278","","-0.22%"
"2025- 02- 10","1.4315","1.4297","1.4381","1.4289","","0.15%"
"2025- 02- 07","1.4294","1.4310","1.4347","1.4272","","-0.10%"
"2025- 02- 06","1.4308","1.4314","1.4368","1.4301","","0.01%"
"2025- 02- 05","1.4307","1.4322","1.4346","1.4269","","-0.10%"
"2025- 02- 04","1.4321","1.4428","1.4504","1.4301","","-0.74%"
"2025- 02- 03","1.4428","1.4689","1.4794","1.4389","","-0.66%"
"2025- 01- 31","1.4524","1.4491","1.4560","1.4372","","0.25%"
"2025- 01- 30","1.4488","1.4421","1.4595","1.4392","","0.49%"
"2025- 01- 29","1.4417","1.4400","1.4473","1.4391","","0.13%"
"2025- 01- 28","1.4398","1.4373","1.4421","1.4368","","0.19%"
"2025- 01- 27","1.4370","1.4345","1.4402","1.4333","","0.20%"
"2025- 01- 24","1.4342","1.4383","1.4385","1.4314","","-0.29%"
"2025- 01- 23","1.4383","1.4373","1.4415","1.4333","","0.06%"
"2025- 01- 22","1.4375","1.4323","1.4393","1.4301","","0.39%"
"2025- 01- 21","1.4319","1.4304","1.4516","1.4289","","0.09%"
"2025- 01- 20","1.4306","1.4461","1.4487","1.4261","","-1.20%"
"2025- 01- 17","1.4480","1.4394","1.4485","1.4381","","0.60%"
"2025- 01- 16","1.4393","1.4344","1.4404","1.4322","","0.37%"
"2025- 01- 15","1.4340","1.4349","1.4368","1.4301","","-0.06%"
"2025- 01- 14","1.4348","1.4373","1.4412","1.4343","","-0.21%"
"2025- 01- 13","1.4378","1.4428","1.4449","1.4375","","-0.31%"
"2025- 01- 10","1.4422","1.4394","1.4445","1.4374","","0.19%"
"2025- 01- 09","1.4394","1.4375","1.4406","1.4365","","0.15%"
"2025- 01- 08","1.4372","1.4366","1.4411","1.4339","","0.03%"
"2025- 01- 07","1.4367","1.4335","1.4373","1.4297","","0.27%"
"2025- 01- 06","1.4329","1.4447","1.4454","1.4279","","-0.82%"
"2025- 01- 03","1.4447","1.4400","1.4465","1.4383","","0.33%"
"2025- 01- 02","1.4400","1.4386","1.4444","1.4368","","0.10%"
"2025- 01- 01","1.4385","1.4383","1.4389","1.4379","","0.03%"
"2024- 12- 31","1.4380","1.4360","1.4411","1.4337","","0.19%"
"2024- 12- 30","1.4353","1.4415","1.4434","1.4344","","-0.37%"
"2024- 12- 27","1.4407","1.4408","1.4451","1.4375","","0.00%"
"2024- 12- 26","1.4407","1.4365","1.4421","1.4349","","0.30%"
"2024- 12- 25","1.4364","1.4356","1.4375","1.4354","","0.03%"
"2024- 12- 24","1.4360","1.4371","1.4421","1.4347","","-0.06%"
"2024- 12- 23","1.4368","1.4360","1.4434","1.4349","","0.00%"
"2024- 12- 20","1.4368","1.4398","1.4436","1.4335","","-0.20%"
"2024- 12- 19","1.4397","1.4448","1.4469","1.4344","","-0.35%"
"2024- 12- 18","1.4447","1.4310","1.4450","1.4304","","0.96%"
"2024- 12- 17","1.4310","1.4242","1.4326","1.4232","","0.48%"
"2024- 12- 16","1.4242","1.4232","1.4270","1.4217","","0.09%"
"2024- 12- 13","1.4229","1.4221","1.4246","1.4209","","0.06%"
"2024- 12- 12","1.4220","1.4158","1.4229","1.4131","","0.45%"
"2024- 12- 11","1.4157","1.4177","1.4195","1.4120","","-0.15%"
"2024- 12- 10","1.4178","1.4170","1.4196","1.4154","","0.05%"
"2024- 12- 09","1.4171","1.4158","1.4177","1.4093","","0.11%"
"2024- 12- 06","1.4155","1.4029","1.4166","1.4018","","0.95%"
"2024- 12- 05","1.4022","1.4074","1.4080","1.4010","","-0.36%"
"2024- 12- 04","1.4073","1.4068","1.4084","1.4051","","0.04%"
"2024- 12- 03","1.4068","1.4050","1.4077","1.4009","","0.17%"
"2024- 12- 02","1.4044","1.4007","1.4091","1.3986","","0.30%"
"2024- 11- 29","1.4002","1.4017","1.4047","1.3979","","-0.06%"
"2024- 11- 28","1.4011","1.4030","1.4033","1.3998","","-0.12%"
"2024- 11- 27","1.4028","1.4053","1.4079","1.4009","","-0.17%"
"2024- 11- 26","1.4052","1.3987","1.4179","1.3981","","0.47%"
"2024- 11- 25","1.3986","1.3974","1.4009","1.3927","","0.04%"
"2024- 11- 22","1.3980","1.3971","1.4022","1.3957","","0.07%"
"2024- 11- 21","1.3970","1.3976","1.3979","1.3930","","-0.01%"
"2024- 11- 20","1.3972","1.3958","1.4015","1.3950","","0.14%"
"2024- 11- 19","1.3953","1.4014","1.4038","1.3954","","-0.44%"
"2024- 11- 18","1.4014","1.4091","1.4104","1.4003","","-0.53%"
"2024- 11- 15","1.4088","1.4055","1.4107","1.4032","","0.22%"
"2024- 11- 14","1.4057","1.3997","1.4065","1.3987","","0.44%"
"2024- 11- 13","1.3996","1.3945","1.4004","1.3931","","0.37%"
"2024- 11- 12","1.3944","1.3925","1.3969","1.3916","","0.14%"
"2024- 11- 11","1.3924","1.3909","1.3952","1.3894","","0.12%"
"2024- 11- 08","1.3908","1.3862","1.3930","1.3857","","0.34%"
"2024- 11- 07","1.3861","1.3939","1.3950","1.3841","","-0.55%"
"2024- 11- 06","1.3938","1.3825","1.3960","1.3822","","0.83%"
