Date,n_cand,n_hi,n_cand_rel,n_hi_rel,score_mean_rel,topic_policy_rel,topic_macro_rel,topic_trade_geo_rel,topic_market_rel,topic_corp_rel,topic_commod_fx_rel
2020-10-08,19,3,1.191658391261172,0.7792207792207791,0.8996923250734638,0.7142857142857143,1.3953488372093024,0.7894736842105263,1.3333333333333333,0.6741573033707865,0.9523809523809523
2020-10-09,18,3,1.125370187561698,0.7817589576547231,0.9705647354114477,0.7228915662650602,0.9160305343511449,0.7894736842105263,2.0,0.6818181818181818,0.9523809523809523
2020-10-12,21,1,1.3200000000000003,0.39473684210526316,0.7688164282785281,0.7228915662650602,0.9160305343511449,0.7894736842105263,0.6593406593406593,0.6896551724137931,0.9523809523809523
2020-10-13,8,2,0.5383848454636091,0.6020066889632107,1.1585263931538097,0.7317073170731707,0.46153846153846145,1.6,1.3186813186813187,0.6976744186046512,0.9523809523809523
2020-10-14,12,3,0.7862903225806452,0.8080808080808081,1.0160338821726045,0.7317073170731707,0.9230769230769229,0.8,1.3043478260869565,1.4117647058823528,0.9523809523809523
2020-10-15,16,3,1.0365853658536586,0.8108108108108107,0.9238279854315494,0.7317073170731707,1.3846153846153844,0.8,0.6451612903225806,0.6976744186046512,0.9523809523809523
2020-10-16,20,2,1.2830957230142566,0.6185567010309279,0.8230265121760819,0.7317073170731707,1.3740458015267174,0.8,0.6593406593406593,0.7142857142857143,0.9523809523809523
2020-10-19,22,6,1.4067278287461773,1.4840989399293285,1.0419161056799844,0.7317073170731707,0.9230769230769229,1.643835616438356,0.6666666666666666,1.4814814814814814,1.9047619047619047
2020-10-20,10,1,0.6680161943319838,0.42402826855123676,0.7978679506447038,0.7317073170731707,0.9230769230769229,0.8108108108108107,0.6818181818181818,0.7407407407407407,0.9375
2020-10-21,10,3,0.6790123456790124,0.8571428571428572,1.0981449287608207,1.4634146341463414,0.9230769230769229,0.8108108108108107,1.3636363636363635,0.7407407407407407,0.9375
2020-10-22,13,5,0.8740894901144641,1.3043478260869565,1.1515049225722027,0.7317073170731707,1.3846153846153844,0.8333333333333334,0.6818181818181818,0.7407407407407407,0.9523809523809523
2020-10-23,12,2,0.8125,0.6545454545454544,0.9739284583933789,0.75,0.46153846153846145,1.6666666666666667,0.6818181818181818,0.7407407407407407,0.9523809523809523
2020-10-26,18,6,1.2038014783526927,1.5384615384615385,1.020552123685157,0.759493670886076,0.46153846153846145,0.821917808219178,2.0454545454545454,1.518987341772152,0.9523809523809523
2020-10-27,11,3,0.7610993657505285,0.8759124087591241,1.0043342939404765,0.759493670886076,0.9230769230769229,0.821917808219178,0.6896551724137931,0.7692307692307692,0.9523809523809523
2020-10-28,11,3,0.7741935483870968,0.8856088560885609,0.8200334337820182,0.7692307692307692,0.45801526717557245,0.8450704225352113,1.3793103448275863,1.5384615384615383,0.9523809523809523
2020-10-29,17,4,1.1713665943600868,1.1111111111111112,0.8865226859575288,0.7792207792207793,0.9160305343511449,0.8571428571428571,0.6818181818181818,0.7792207792207793,0.9523809523809523
2020-10-30,17,2,1.157556270096463,0.6617647058823529,0.9303530634452961,0.7792207792207793,0.45454545454545453,0.8571428571428571,2.0454545454545454,0.7894736842105263,0.9523809523809523
2020-11-02,20,0,1.3592233009708738,0.22641509433962267,0.74420918355642,0.7894736842105263,0.46875,0.8695652173913044,0.6666666666666666,0.8108108108108107,0.9523809523809523
2020-11-03,11,3,0.7783783783783784,0.9375,1.085684079418641,1.6,0.9523809523809523,0.8695652173913044,1.3636363636363635,0.8108108108108107,0.9523809523809523
2020-11-04,14,4,0.9846827133479212,1.2048192771084336,1.050733595423106,0.7894736842105263,0.48780487804878053,0.8695652173913044,2.0689655172413794,0.8450704225352113,1.9047619047619047
2020-11-05,13,6,0.9130434782608695,1.6666666666666665,1.3872268058310888,2.368421052631579,1.4634146341463417,0.8695652173913044,0.6741573033707865,1.7142857142857142,0.9375
2020-11-06,19,3,1.3001083423618636,0.9375,0.9407422992373549,0.7692307692307692,1.9354838709677422,0.8695652173913044,0.6818181818181818,0.8450704225352113,0.9375
2020-11-09,21,5,1.42548596112311,1.4229249011857708,1.046938312608157,1.5384615384615383,0.4800000000000001,2.608695652173913,1.3636363636363635,0.8450704225352113,0.9375
2020-11-10,14,4,0.9594882729211087,1.171875,0.9918960624291056,0.759493670886076,0.9677419354838711,0.8450704225352113,1.348314606741573,0.8450704225352113,0.9375
2020-11-11,17,5,1.1513859275053304,1.3953488372093024,1.0719685161454255,0.759493670886076,1.4634146341463417,0.8450704225352113,1.3333333333333333,0.8450704225352113,0.9375
2020-11-12,19,4,1.2671594508975712,1.1450381679389312,1.045430364271093,0.759493670886076,1.9200000000000004,0.8450704225352113,0.6666666666666666,0.8450704225352113,0.9375
2020-11-13,12,1,0.8150470219435737,0.45801526717557245,0.8741037488667721,0.7692307692307692,0.46875,0.8450704225352113,1.348314606741573,0.8571428571428571,0.9375
2020-11-16,22,8,1.4389989572471324,2.0769230769230766,1.1099771312347515,0.7692307692307692,1.4173228346456692,1.6901408450704225,1.3333333333333333,0.8571428571428571,0.9375
2020-11-17,23,7,1.4922279792746111,1.8250950570342208,1.0460976367893895,1.5384615384615383,1.40625,0.8333333333333334,1.3186813186813187,2.608695652173913,0.9375
2020-11-18,11,0,0.7399794450154161,0.22388059701492538,0.6437217137181755,0.759493670886076,0.46153846153846145,0.8333333333333334,0.6593406593406593,0.8450704225352113,0.9375
2020-11-19,19,4,1.235839340885685,1.1278195488721805,0.9459663235477501,0.759493670886076,0.9302325581395349,0.8450704225352113,1.3186813186813187,0.8450704225352113,0.9375
2020-11-20,13,1,0.8580183861082737,0.449438202247191,0.8344635660691362,0.7692307692307692,0.46511627906976744,0.8450704225352113,0.6521739130434783,0.8450704225352113,0.9375
2020-11-23,17,3,1.1042944785276072,0.9160305343511449,1.1265005085979842,1.5789473684210527,0.9523809523809523,1.6901408450704225,1.3043478260869565,0.8450704225352113,0.9523809523809523
2020-11-24,8,2,0.5493387589013224,0.6844106463878328,1.1058828384231087,2.337662337662338,0.47619047619047616,0.8333333333333334,1.2903225806451613,0.8571428571428571,0.9523809523809523
2020-11-25,12,3,0.7983623336745139,0.9195402298850576,1.0177229433320443,0.759493670886076,0.9523809523809523,0.8450704225352113,0.6521739130434783,0.8571428571428571,0.9523809523809523
2020-11-27,15,3,0.9836065573770493,0.9230769230769229,0.7922514281089181,0.7692307692307692,0.47619047619047616,1.6901408450704225,0.6521739130434783,0.8571428571428571,0.9523809523809523
2020-11-30,22,5,1.4139344262295084,1.3846153846153844,0.8820370716874387,0.7692307692307692,0.48780487804878053,1.6666666666666667,1.3043478260869565,0.8571428571428571,1.9047619047619047
2020-12-01,14,5,0.9155645981688708,1.3793103448275863,1.2477735031321777,1.5384615384615383,1.0,0.821917808219178,1.956521739130435,0.8571428571428571,0.9375
2020-12-02,12,5,0.7934893184130214,1.3793103448275863,1.1403585233077564,1.518987341772152,0.49586776859504134,0.821917808219178,0.6521739130434783,0.8571428571428571,0.9375
2020-12-03,20,7,1.308411214953271,1.8390804597701151,1.0733039768699746,0.759493670886076,1.9834710743801653,0.821917808219178,0.6521739130434783,1.7142857142857142,1.875
2020-12-04,21,6,1.35523613963039,1.5789473684210527,1.0044795029826816,1.518987341772152,0.9677419354838711,0.8333333333333334,0.6521739130434783,0.8450704225352113,0.9230769230769231
2020-12-07,17,2,1.1020408163265305,0.6716417910447761,0.8423803322513976,0.75,0.9836065573770493,0.8333333333333334,0.6521739130434783,0.8450704225352113,0.9375
2020-12-08,16,1,1.040816326530612,0.45283018867924535,0.8549808805337211,0.75,0.49586776859504134,0.8333333333333334,1.3043478260869565,0.8450704225352113,0.9375
2020-12-09,12,2,0.7926829268292683,0.679245283018868,0.911979605902636,0.75,0.49586776859504134,1.6666666666666667,0.6451612903225806,0.8450704225352113,0.9375
2020-12-10,17,5,1.1020408163265305,1.38996138996139,1.2330056745157558,1.518987341772152,2.0,0.8571428571428571,0.6451612903225806,0.8450704225352113,0.9375
